sale_id,user_id,sku,purchase_date,machine_id,machine_location
SAL-AB1FF644,USR-04F78998,Georgia Coffee,2026-01-25,MACH-038,Hokkaido
SAL-2F904129,USR-1149F621,Georgia Coffee,2025-02-17,MACH-002,Hyogo
SAL-F2125243,USR-53A94995,Water,2025-04-30,MACH-006,Fukuoka
SAL-6B6953E6,USR-76E1078C,Georgia Coffee,2024-07-24,MACH-035,Osaka
SAL-60DCE533,USR-3A4E834A,Water,2025-07-08,MACH-034,Kanagawa
SAL-55257F68,USR-EEA65C2F,Georgia Coffee,2025-01-21,MACH-005,Saitama
SAL-97C933F5,USR-C6D143FA,Water,2026-02-26,MACH-008,Osaka
SAL-9277BFBB,USR-AE4E92FD,Water,2025-12-24,MACH-007,Fukuoka
SAL-9B3111B2,USR-3BC92C11,Coca-Cola,2024-11-05,MACH-034,Kanagawa
SAL-ADAF5439,USR-D33E5B1B,Fanta,2025-02-02,MACH-036,Kyoto
SAL-B2AF9B41,USR-A8B517F3,Georgia Coffee,2024-10-24,MACH-026,Aichi
SAL-A60C6F41,USR-8B66D801,Georgia Coffee,2025-12-16,MACH-043,Chiba
SAL-B113EDD7,USR-305C16A9,Georgia Coffee,2025-11-19,MACH-033,Tokyo
SAL-F362AF52,USR-2F96E890,Water,2024-10-06,MACH-014,Aichi
SAL-213DAD77,USR-3D84F1C9,Water,2024-05-04,MACH-037,Kyoto
SAL-2329565D,USR-A2189587,Georgia Coffee,2025-09-01,MACH-016,Aichi
SAL-927E0A48,USR-ED6B2857,Fanta,2026-01-16,MACH-032,Aichi
SAL-8BCE9C58,USR-630E5708,Coca-Cola,2025-01-15,MACH-039,Hokkaido
SAL-773D76C8,USR-154E2B2C,Georgia Coffee,2025-10-23,MACH-008,Osaka
SAL-0A1974C0,USR-592825BE,Fanta,2025-06-12,MACH-040,Aichi
SAL-C6DCABEB,USR-2CC8E54A,Coca-Cola,2026-02-21,MACH-020,Fukuoka
SAL-A04150B5,USR-82D788EE,Georgia Coffee,2024-05-26,MACH-044,Kyoto
SAL-BB488358,USR-53A94995,Georgia Coffee,2024-10-31,MACH-020,Fukuoka
SAL-99AD2D20,USR-267DAB8F,Georgia Coffee,2026-02-09,MACH-010,Hokkaido
SAL-C0D35AE1,USR-48F8D309,Georgia Coffee,2025-11-01,MACH-033,Tokyo
SAL-9D843940,USR-2CC8E54A,Water,2025-09-02,MACH-045,Tokyo
SAL-C86B7089,USR-BF6B6625,Water,2024-08-25,MACH-036,Kyoto
SAL-8A3D4324,USR-27E7ECCC,Georgia Coffee,2024-07-22,MACH-034,Kanagawa
SAL-09187056,USR-8FFA60F5,Georgia Coffee,2025-03-03,MACH-001,Hyogo
SAL-DBEB9EBA,USR-36FB866E,Coca-Cola,2025-03-29,MACH-036,Kyoto
SAL-202F67CA,USR-BBDE6D92,Coca-Cola,2025-04-23,MACH-044,Kyoto
SAL-45E31326,USR-BF6B6625,Georgia Coffee,2025-05-29,MACH-032,Aichi
SAL-7C365848,USR-19354408,Georgia Coffee,2024-04-01,MACH-049,Tokyo
SAL-88CCD8B2,USR-B6B4996C,Georgia Coffee,2024-12-07,MACH-015,Tokyo
SAL-1080C63D,USR-ADD12C4E,Water,2025-06-12,MACH-037,Kyoto
SAL-52F0080D,USR-267DAB8F,Georgia Coffee,2025-07-21,MACH-036,Kyoto
SAL-6352E3FE,USR-F5CEE960,Water,2024-06-25,MACH-018,Chiba
SAL-8E0E03DC,USR-BCFA392F,Water,2025-03-11,MACH-035,Osaka
SAL-5536BA97,USR-21459E6B,Aquarius,2025-05-26,MACH-035,Osaka
SAL-49E17FAD,USR-DB2411D5,Water,2024-06-13,MACH-048,Osaka
SAL-9B97A719,USR-0C3B02F1,Aquarius,2024-11-09,MACH-020,Fukuoka
SAL-E3F8D56C,USR-154E2B2C,Fanta,2025-06-04,MACH-017,Hokkaido
SAL-BDD85E97,USR-C8AB6402,Aquarius,2024-05-29,MACH-029,Fukuoka
SAL-2885F7A1,USR-368F45FE,Water,2024-10-29,MACH-014,Aichi
SAL-0B032893,USR-E12542B8,Coca-Cola,2026-02-04,MACH-023,Saitama
SAL-CD09E0F8,USR-996747D1,Water,2024-08-17,MACH-040,Aichi
SAL-072AEC51,USR-7600A84A,Coca-Cola,2024-09-28,MACH-004,Chiba
SAL-E8CA0663,USR-B6B4996C,Georgia Coffee,2024-12-13,MACH-039,Hokkaido
SAL-0824C43E,USR-944A90B6,Coca-Cola,2026-02-19,MACH-019,Chiba
SAL-11BE46E1,USR-8DA576DC,Georgia Coffee,2025-08-09,MACH-044,Kyoto
SAL-8D96275A,USR-C8FD93C6,Fanta,2025-04-26,MACH-004,Chiba
SAL-F9F56B7A,USR-C8AB6402,Georgia Coffee,2024-07-08,MACH-045,Tokyo
SAL-32DE1697,USR-7F480F50,Fanta,2024-07-28,MACH-046,Saitama
SAL-DAB970E1,USR-EC28C8E2,Georgia Coffee,2026-01-22,MACH-026,Aichi
SAL-5F51FD6D,USR-7C7C26AF,Georgia Coffee,2025-12-08,MACH-018,Chiba
SAL-B68ECD34,USR-9103851A,Water,2025-06-06,MACH-005,Saitama
SAL-99DE8C20,USR-721E9C57,Water,2024-06-04,MACH-026,Aichi
SAL-2CCE7965,USR-6AE06BF7,Fanta,2026-02-10,MACH-024,Tokyo
SAL-B4D1EACF,USR-FE79FFF4,Water,2025-01-30,MACH-038,Hokkaido
SAL-9621FD72,USR-952FF497,Coca-Cola,2024-06-04,MACH-047,Tokyo
SAL-C65FA7A4,USR-7A8E193C,Water,2026-01-10,MACH-045,Tokyo
SAL-27C61148,USR-21459E6B,Aquarius,2025-08-30,MACH-026,Aichi
SAL-96E7B3C9,USR-0B70AFCD,Georgia Coffee,2024-10-03,MACH-032,Aichi
SAL-D7B12EBD,USR-4AE5805B,Coca-Cola,2024-12-16,MACH-022,Hokkaido
SAL-D62AB377,USR-035859B1,Georgia Coffee,2025-10-01,MACH-032,Aichi
SAL-791EF307,USR-3F1415D3,Georgia Coffee,2026-01-28,MACH-049,Tokyo
SAL-DEBA30CC,USR-6F7C3361,Georgia Coffee,2025-12-02,MACH-014,Aichi
SAL-D80F2252,USR-24108AEF,Georgia Coffee,2025-05-13,MACH-013,Fukuoka
SAL-173D7F6F,USR-42B8D9F9,Water,2025-12-26,MACH-020,Fukuoka
SAL-FB12DD31,USR-41438E9F,Georgia Coffee,2024-12-06,MACH-006,Fukuoka
SAL-A6613182,USR-FC7DFEF6,Fanta,2024-05-24,MACH-024,Tokyo
SAL-E01347DB,USR-A61CDC2B,Water,2024-08-17,MACH-004,Chiba
SAL-1CD5A1F5,USR-7B123D86,Georgia Coffee,2026-02-15,MACH-049,Tokyo
SAL-1CD500C4,USR-9CBD7FA7,Georgia Coffee,2024-06-02,MACH-046,Saitama
SAL-B18FCC87,USR-6975BC1C,Water,2025-07-02,MACH-005,Saitama
SAL-236B4ADE,USR-3625DF12,Georgia Coffee,2025-08-14,MACH-044,Kyoto
SAL-A5E3AD62,USR-B180A97A,Georgia Coffee,2026-02-11,MACH-022,Hokkaido
SAL-EFD866B5,USR-6975BC1C,Coca-Cola,2025-05-07,MACH-045,Tokyo
SAL-DA3D51C0,USR-C5CDA2E3,Water,2024-10-21,MACH-025,Saitama
SAL-69F2A516,USR-78E654EA,Coca-Cola,2024-06-13,MACH-007,Fukuoka
SAL-282BE05B,USR-DC9E84CE,Aquarius,2025-01-01,MACH-010,Hokkaido
SAL-9006E1D2,USR-062D1DA6,Water,2024-07-25,MACH-005,Saitama
SAL-7C0D4795,USR-EDA65DBE,Georgia Coffee,2025-11-15,MACH-042,Tokyo
SAL-032B0485,USR-709E18E0,Georgia Coffee,2024-10-05,MACH-041,Tokyo
SAL-260FB983,USR-53FE2B1F,Coca-Cola,2025-04-26,MACH-040,Aichi
SAL-07DA2D01,USR-EF376D1B,Georgia Coffee,2024-10-09,MACH-006,Fukuoka
SAL-D6E3466B,USR-137123E3,Coca-Cola,2024-07-05,MACH-038,Hokkaido
SAL-94406FF8,USR-7DBFB698,Georgia Coffee,2025-05-14,MACH-021,Fukuoka
SAL-1748DB88,USR-8AB59DF2,Georgia Coffee,2024-12-09,MACH-042,Tokyo
SAL-6AD1EFDE,USR-3A4E834A,Coca-Cola,2025-11-06,MACH-039,Hokkaido
SAL-C6FB88BD,USR-05684EC6,Water,2026-02-06,MACH-002,Hyogo
SAL-47278C0E,USR-92C61C96,Coca-Cola,2025-01-03,MACH-014,Aichi
SAL-09BBAD3D,USR-E8E1B153,Georgia Coffee,2024-09-10,MACH-048,Osaka
SAL-65DDA8F3,USR-20D3933B,Georgia Coffee,2024-04-25,MACH-016,Aichi
SAL-76339E4F,USR-CA703ACB,Coca-Cola,2024-11-02,MACH-032,Aichi
SAL-EBF5BB02,USR-66BABA34,Aquarius,2025-08-23,MACH-001,Hyogo
SAL-D1C9D264,USR-00C46383,Fanta,2024-07-14,MACH-025,Saitama
SAL-A21D49E2,USR-B88D2C5B,Water,2025-05-05,MACH-024,Tokyo
SAL-B3EEBFC6,USR-433F990C,Georgia Coffee,2025-06-26,MACH-043,Chiba
SAL-AE33742C,USR-5D4C5CEA,Georgia Coffee,2024-10-07,MACH-003,Kyoto
SAL-84ED1BE8,USR-FB256CF6,Coca-Cola,2025-04-12,MACH-033,Tokyo
SAL-3263EF2A,USR-1453618B,Water,2025-07-27,MACH-031,Tokyo
SAL-0F23A53D,USR-0289E4B2,Georgia Coffee,2025-09-02,MACH-040,Aichi
SAL-41F9E78D,USR-267DAB8F,Fanta,2025-01-12,MACH-006,Fukuoka
SAL-2E416AF8,USR-BD240E0B,Coca-Cola,2024-08-07,MACH-035,Osaka
SAL-1EA6CFAC,USR-8630F5CB,Coca-Cola,2025-12-10,MACH-049,Tokyo
SAL-6410D111,USR-925AA5AC,Coca-Cola,2025-12-19,MACH-005,Saitama
SAL-8B931FA3,USR-5964DD23,Georgia Coffee,2024-10-31,MACH-004,Chiba
SAL-35064C82,USR-6AE06BF7,Coca-Cola,2025-05-19,MACH-008,Osaka
SAL-F5F08D43,USR-25C0F995,Water,2024-04-26,MACH-020,Fukuoka
SAL-EBBE6968,USR-866FFF9C,Water,2024-08-27,MACH-008,Osaka
SAL-0034EA17,USR-A9AC57D6,Georgia Coffee,2026-02-17,MACH-001,Hyogo
SAL-D0C7A673,USR-A316C481,Coca-Cola,2025-02-19,MACH-034,Kanagawa
SAL-5D13468C,USR-145369A1,Georgia Coffee,2024-11-21,MACH-011,Osaka
SAL-BA4CB95E,USR-EA7E1517,Georgia Coffee,2024-12-01,MACH-047,Tokyo
SAL-460E68D9,USR-F8405179,Georgia Coffee,2024-03-31,MACH-022,Hokkaido
SAL-C0146D60,USR-9FF795FF,Water,2025-08-19,MACH-005,Saitama
SAL-9568669C,USR-57B124C6,Coca-Cola,2025-10-12,MACH-041,Tokyo
SAL-40B55325,USR-1917C70A,Water,2025-08-06,MACH-024,Tokyo
SAL-1D9A2ADB,USR-7486C640,Georgia Coffee,2025-10-02,MACH-011,Osaka
SAL-9B5F0C84,USR-D69D18B6,Water,2024-06-14,MACH-037,Kyoto
SAL-610DD0F4,USR-C6F61FED,Georgia Coffee,2024-10-20,MACH-048,Osaka
SAL-E4A010D9,USR-8FF0D4B5,Coca-Cola,2024-03-13,MACH-016,Aichi
SAL-3D797790,USR-8E1E3EB9,Fanta,2025-03-28,MACH-010,Hokkaido
SAL-2A3E15CF,USR-A05A0812,Fanta,2024-04-06,MACH-036,Kyoto
SAL-3508DFA6,USR-8F9832E0,Georgia Coffee,2026-01-01,MACH-027,Saitama
SAL-8821780D,USR-B58F9776,Georgia Coffee,2025-05-01,MACH-047,Tokyo
SAL-B8026B27,USR-145369A1,Georgia Coffee,2024-05-19,MACH-037,Kyoto
SAL-D822B96A,USR-8E1E3EB9,Georgia Coffee,2026-01-19,MACH-004,Chiba
SAL-1DF61697,USR-1AF6B033,Coca-Cola,2025-08-11,MACH-003,Kyoto
SAL-99CF3882,USR-F5CEE960,Fanta,2025-06-20,MACH-019,Chiba
SAL-FBCEE34A,USR-E55EBEAD,Georgia Coffee,2025-01-30,MACH-006,Fukuoka
SAL-DE398F88,USR-4CB6EEDB,Coca-Cola,2025-03-13,MACH-024,Tokyo
SAL-644FA740,USR-D88345D4,Aquarius,2025-06-19,MACH-024,Tokyo
SAL-A2E39015,USR-C265538A,Coca-Cola,2024-09-17,MACH-047,Tokyo
SAL-D6272E5A,USR-3724F37F,Fanta,2024-11-07,MACH-010,Hokkaido
SAL-FD355296,USR-253C3381,Georgia Coffee,2024-03-25,MACH-015,Tokyo
SAL-1C396DCE,USR-9CA98CA6,Georgia Coffee,2026-02-09,MACH-001,Hyogo
SAL-6E08D34B,USR-05684EC6,Coca-Cola,2026-01-03,MACH-025,Saitama
SAL-798CCFD1,USR-8F0446E1,Georgia Coffee,2025-01-09,MACH-007,Fukuoka
SAL-A2C062D8,USR-BBDE6D92,Aquarius,2024-10-30,MACH-027,Saitama
SAL-DE406B57,USR-2E685EF6,Georgia Coffee,2024-07-24,MACH-046,Saitama
SAL-F296966A,USR-505FAD88,Coca-Cola,2024-10-24,MACH-034,Kanagawa
SAL-5702957A,USR-8AB59DF2,Coca-Cola,2025-03-17,MACH-030,Saitama
SAL-51CD880B,USR-D04F0D1C,Water,2025-07-31,MACH-031,Tokyo
SAL-D2F1E47D,USR-1737B808,Aquarius,2024-05-03,MACH-028,Kanagawa
SAL-1696A228,USR-E583B827,Water,2024-10-29,MACH-019,Chiba
SAL-E3E2F02A,USR-85BF7BE2,Water,2025-04-07,MACH-045,Tokyo
SAL-88974596,USR-392AE2A3,Georgia Coffee,2025-01-20,MACH-029,Fukuoka
SAL-B10F15FF,USR-C808B976,Georgia Coffee,2024-09-24,MACH-009,Tokyo
SAL-F372FB9B,USR-DB435ABC,Coca-Cola,2024-06-17,MACH-011,Osaka
SAL-45EB8143,USR-AFE43384,Georgia Coffee,2025-04-21,MACH-008,Osaka
SAL-0E3D4BCE,USR-00A95BB2,Coca-Cola,2024-09-29,MACH-029,Fukuoka
SAL-B81BE38D,USR-8BFF6238,Fanta,2024-07-01,MACH-006,Fukuoka
SAL-3A8E2A75,USR-9617D360,Coca-Cola,2025-01-06,MACH-046,Saitama
SAL-2EA46688,USR-654936BD,Georgia Coffee,2024-10-07,MACH-021,Fukuoka
SAL-25C0336E,USR-AE4E92FD,Georgia Coffee,2024-11-10,MACH-004,Chiba
SAL-C17EFC31,USR-C0550C06,Coca-Cola,2024-08-26,MACH-002,Hyogo
SAL-710036C6,USR-709E18E0,Water,2025-06-07,MACH-036,Kyoto
SAL-7660D046,USR-48FFA3FD,Georgia Coffee,2024-06-05,MACH-010,Hokkaido
SAL-7BFDD077,USR-145369A1,Coca-Cola,2024-10-14,MACH-031,Tokyo
SAL-0D1D1D0D,USR-6AE68BC1,Coca-Cola,2025-12-21,MACH-006,Fukuoka
SAL-EADFA0D1,USR-9E6F7AC6,Georgia Coffee,2024-05-16,MACH-002,Hyogo
SAL-79049FE9,USR-7A34CF2C,Georgia Coffee,2025-12-22,MACH-029,Fukuoka
SAL-95A6574B,USR-C868D1CB,Fanta,2025-02-03,MACH-008,Osaka
SAL-55A728A9,USR-2A7C68BF,Coca-Cola,2024-04-21,MACH-011,Osaka
SAL-08EBB1B7,USR-62ADA4A2,Georgia Coffee,2025-04-09,MACH-032,Aichi
SAL-7EEB83FC,USR-60D6FDEC,Georgia Coffee,2025-05-11,MACH-015,Tokyo
SAL-BA84F584,USR-B3727ECC,Water,2024-07-31,MACH-003,Kyoto
SAL-785AA9F5,USR-95497CBB,Georgia Coffee,2024-11-07,MACH-042,Tokyo
SAL-A915297C,USR-4469367F,Georgia Coffee,2025-09-15,MACH-031,Tokyo
SAL-9BCA9253,USR-500491A3,Water,2025-03-28,MACH-047,Tokyo
SAL-6AF92390,USR-157A10B1,Coca-Cola,2024-11-11,MACH-041,Tokyo
SAL-83C3250C,USR-23327163,Water,2024-03-20,MACH-025,Saitama
SAL-1F773B7B,USR-23327163,Water,2025-07-05,MACH-035,Osaka
SAL-BBC3857E,USR-7F480F50,Georgia Coffee,2025-10-01,MACH-033,Tokyo
SAL-36190C5C,USR-B58F9776,Water,2024-09-01,MACH-002,Hyogo
SAL-6BB6C294,USR-062D1DA6,Georgia Coffee,2024-03-31,MACH-036,Kyoto
SAL-4749C4E6,USR-39F04295,Georgia Coffee,2025-10-20,MACH-015,Tokyo
SAL-49CF4263,USR-96DFBE54,Georgia Coffee,2024-11-09,MACH-043,Chiba
SAL-B219B8FC,USR-2FA966AC,Georgia Coffee,2024-04-27,MACH-049,Tokyo
SAL-1FF9130B,USR-A2F6A88E,Georgia Coffee,2025-04-02,MACH-023,Saitama
SAL-6E331A77,USR-29882894,Water,2024-10-29,MACH-038,Hokkaido
SAL-3344BB0F,USR-89894EE7,Coca-Cola,2026-02-13,MACH-023,Saitama
SAL-8EA202B5,USR-2994D295,Georgia Coffee,2025-02-24,MACH-037,Kyoto
SAL-38720292,USR-253C3381,Georgia Coffee,2024-09-09,MACH-032,Aichi
SAL-2F85324A,USR-C58E4128,Georgia Coffee,2025-07-16,MACH-003,Kyoto
SAL-06C43E42,USR-889A4DC0,Coca-Cola,2025-11-07,MACH-015,Tokyo
SAL-F47962B4,USR-ED2C34E7,Coca-Cola,2024-03-01,MACH-022,Hokkaido
SAL-AC5F8107,USR-A4A32359,Georgia Coffee,2024-07-12,MACH-022,Hokkaido
SAL-8BB42AD4,USR-C6D143FA,Georgia Coffee,2025-01-26,MACH-004,Chiba
SAL-C8C1C7F8,USR-F5CEE960,Georgia Coffee,2026-02-20,MACH-010,Hokkaido
SAL-6F84B592,USR-934AE569,Georgia Coffee,2025-08-21,MACH-024,Tokyo
SAL-33D785B2,USR-A61CDC2B,Coca-Cola,2026-02-20,MACH-043,Chiba
SAL-4BCE510F,USR-37CF0E89,Georgia Coffee,2025-02-08,MACH-020,Fukuoka
SAL-1F83EB51,USR-2FA966AC,Coca-Cola,2024-08-09,MACH-047,Tokyo
SAL-B6DF3F28,USR-19017363,Georgia Coffee,2025-12-15,MACH-032,Aichi
SAL-5C391C5C,USR-4474FD9D,Water,2026-02-23,MACH-036,Kyoto
SAL-65F4BA9A,USR-8DA576DC,Georgia Coffee,2025-11-19,MACH-043,Chiba
SAL-FF59F76F,USR-8520327C,Georgia Coffee,2025-01-09,MACH-047,Tokyo
SAL-B535BA56,USR-51071089,Aquarius,2024-08-29,MACH-047,Tokyo
SAL-F67275EC,USR-B478AEB3,Aquarius,2025-10-08,MACH-026,Aichi
SAL-6C8E9274,USR-BFA06269,Coca-Cola,2025-10-03,MACH-003,Kyoto
SAL-EC51DFE9,USR-2FADFA42,Coca-Cola,2025-11-17,MACH-015,Tokyo
SAL-D71B983F,USR-A7B5CA58,Water,2025-07-22,MACH-010,Hokkaido
SAL-8B73601B,USR-BF6B6625,Coca-Cola,2024-10-30,MACH-023,Saitama
SAL-B9FE5F43,USR-A6DC3A41,Water,2024-05-30,MACH-046,Saitama
SAL-37F93459,USR-AF96F555,Georgia Coffee,2025-02-07,MACH-029,Fukuoka
SAL-FABD832B,USR-433F990C,Georgia Coffee,2024-11-11,MACH-045,Tokyo
SAL-D70FC14B,USR-51071089,Georgia Coffee,2024-06-19,MACH-047,Tokyo
SAL-36E0534A,USR-098DA84F,Aquarius,2025-05-23,MACH-047,Tokyo
SAL-9F2887CD,USR-B199C545,Georgia Coffee,2025-04-28,MACH-032,Aichi
SAL-BFB58CDE,USR-09617E42,Water,2025-09-11,MACH-025,Saitama
SAL-7B2BB340,USR-1A2AD4A5,Coca-Cola,2025-10-13,MACH-042,Tokyo
SAL-45460B30,USR-20FB714E,Water,2024-08-14,MACH-029,Fukuoka
SAL-B241A540,USR-889A4DC0,Georgia Coffee,2024-04-04,MACH-019,Chiba
SAL-1FCAEF9F,USR-87193EF0,Georgia Coffee,2024-06-16,MACH-005,Saitama
SAL-6599FAA5,USR-7468677B,Georgia Coffee,2025-03-20,MACH-011,Osaka
SAL-4D4D03EB,USR-4020666C,Aquarius,2024-06-04,MACH-022,Hokkaido
SAL-B5AB0429,USR-62ADA4A2,Coca-Cola,2025-07-08,MACH-046,Saitama
SAL-B1FCBF6B,USR-1D470D6C,Water,2025-12-30,MACH-011,Osaka
SAL-FF1F1494,USR-09617E42,Coca-Cola,2024-08-08,MACH-004,Chiba
SAL-ED9FC070,USR-9617D360,Coca-Cola,2024-09-11,MACH-027,Saitama
SAL-7BAD0189,USR-DBFE9226,Georgia Coffee,2025-09-05,MACH-017,Hokkaido
SAL-AD06EF28,USR-0311399C,Georgia Coffee,2024-10-30,MACH-007,Fukuoka
SAL-B20326A3,USR-0289E4B2,Georgia Coffee,2025-09-14,MACH-032,Aichi
SAL-0E556F74,USR-8DF4E655,Georgia Coffee,2024-03-04,MACH-028,Kanagawa
SAL-BC2B7F15,USR-DFC2F878,Georgia Coffee,2026-01-07,MACH-041,Tokyo
SAL-782A8F8E,USR-8F0446E1,Georgia Coffee,2024-06-08,MACH-002,Hyogo
SAL-A4A9F5C7,USR-9EEF410F,Water,2024-12-24,MACH-006,Fukuoka
SAL-ADFC41DF,USR-CCA59BE6,Georgia Coffee,2025-01-10,MACH-026,Aichi
SAL-B3DFB337,USR-C58E4128,Coca-Cola,2026-01-06,MACH-017,Hokkaido
SAL-4B7F3011,USR-F52396D9,Georgia Coffee,2025-04-01,MACH-029,Fukuoka
SAL-AFB25F33,USR-6F7C3361,Coca-Cola,2024-04-15,MACH-017,Hokkaido
SAL-540984B6,USR-2994D295,Georgia Coffee,2024-10-18,MACH-018,Chiba
SAL-A5AAF23E,USR-AF60AF75,Georgia Coffee,2026-02-12,MACH-043,Chiba
SAL-993C03C7,USR-505FAD88,Fanta,2025-02-16,MACH-035,Osaka
SAL-32249CF4,USR-E55EBEAD,Georgia Coffee,2025-10-25,MACH-015,Tokyo
SAL-747EA860,USR-098DA84F,Aquarius,2025-04-01,MACH-034,Kanagawa
SAL-B2835B69,USR-FB7362C3,Water,2026-02-02,MACH-031,Tokyo
SAL-DFF2653F,USR-60BC4130,Coca-Cola,2025-07-01,MACH-020,Fukuoka
SAL-1EEE9F53,USR-D51FC580,Fanta,2024-04-05,MACH-033,Tokyo
SAL-50E8C74C,USR-27E7ECCC,Georgia Coffee,2025-10-07,MACH-044,Kyoto
SAL-5FE6F312,USR-BF6B6625,Aquarius,2025-06-03,MACH-012,Tokyo
