campaign_id,campaign_name,age_group,gender,quarter,engagement_count,unique_users,engagement_rate
CAMP-002,Winter Reward,25-34,Other,2025-Q4,15,13,0.283
CAMP-002,Winter Reward,25-34,Other,2026-Q1,19,14,0.237
CAMP-002,Winter Reward,35-44,Male,2025-Q3,19,14,0.222
CAMP-002,Winter Reward,35-44,Male,2025-Q4,31,24,0.387
CAMP-002,Winter Reward,35-44,Male,2026-Q1,20,15,0.326
CAMP-002,Winter Reward,35-44,Female,2025-Q3,19,17,0.459
CAMP-002,Winter Reward,35-44,Female,2025-Q4,18,16,0.262
CAMP-002,Winter Reward,35-44,Female,2026-Q1,10,9,0.214
CAMP-002,Winter Reward,35-44,Other,2025-Q3,11,9,0.184
CAMP-002,Winter Reward,35-44,Other,2025-Q4,28,21,0.362
CAMP-002,Winter Reward,35-44,Other,2026-Q1,11,9,0.158
CAMP-002,Winter Reward,45-54,Male,2025-Q3,35,27,0.474
CAMP-002,Winter Reward,45-54,Male,2025-Q4,23,19,0.322
CAMP-002,Winter Reward,45-54,Male,2026-Q1,27,21,0.318
CAMP-002,Winter Reward,45-54,Female,2025-Q3,25,20,0.667
CAMP-002,Winter Reward,45-54,Female,2025-Q4,33,27,0.5
CAMP-002,Winter Reward,45-54,Female,2026-Q1,26,19,0.311
CAMP-002,Winter Reward,45-54,Other,2025-Q3,31,23,0.451
CAMP-002,Winter Reward,45-54,Other,2025-Q4,25,22,0.31
CAMP-002,Winter Reward,45-54,Other,2026-Q1,20,16,0.302
CAMP-002,Winter Reward,55-65,Male,2025-Q3,24,19,0.288
CAMP-002,Winter Reward,55-65,Male,2025-Q4,22,17,0.321
CAMP-002,Winter Reward,55-65,Male,2026-Q1,32,28,0.418
CAMP-002,Winter Reward,55-65,Female,2025-Q3,24,16,0.302
CAMP-002,Winter Reward,55-65,Female,2025-Q4,14,11,0.423
CAMP-002,Winter Reward,55-65,Female,2026-Q1,35,32,0.681
CAMP-002,Winter Reward,55-65,Other,2025-Q3,22,15,0.205
CAMP-002,Winter Reward,55-65,Other,2025-Q4,34,30,0.353
CAMP-002,Winter Reward,55-65,Other,2026-Q1,43,40,0.513
CAMP-003,Georgia Points Boost,18-24,Male,2025-Q3,21,19,0.345
CAMP-003,Georgia Points Boost,18-24,Male,2025-Q4,20,16,0.348
CAMP-003,Georgia Points Boost,18-24,Male,2026-Q1,22,18,0.3
CAMP-003,Georgia Points Boost,18-24,Female,2025-Q3,8,6,0.353
CAMP-003,Georgia Points Boost,18-24,Female,2025-Q4,7,6,0.188
CAMP-003,Georgia Points Boost,18-24,Female,2026-Q1,6,5,0.082
CAMP-003,Georgia Points Boost,18-24,Other,2025-Q3,10,8,0.195
CAMP-003,Georgia Points Boost,18-24,Other,2025-Q4,9,7,0.123
CAMP-003,Georgia Points Boost,18-24,Other,2026-Q1,15,11,0.289
CAMP-003,Georgia Points Boost,25-34,Male,2025-Q3,21,16,0.593
CAMP-003,Georgia Points Boost,25-34,Male,2025-Q4,15,12,0.179
CAMP-003,Georgia Points Boost,25-34,Male,2026-Q1,13,10,0.294
CAMP-003,Georgia Points Boost,25-34,Female,2025-Q3,8,5,0.083
CAMP-003,Georgia Points Boost,25-34,Female,2025-Q4,11,11,0.297
CAMP-003,Georgia Points Boost,25-34,Female,2026-Q1,15,12,0.231
CAMP-003,Georgia Points Boost,25-34,Other,2025-Q3,10,9,0.17
CAMP-003,Georgia Points Boost,25-34,Other,2025-Q4,7,6,0.261
CAMP-003,Georgia Points Boost,25-34,Other,2026-Q1,10,7,0.368
CAMP-003,Georgia Points Boost,35-44,Male,2025-Q3,43,40,0.43
CAMP-003,Georgia Points Boost,35-44,Male,2025-Q4,30,27,0.38
CAMP-003,Georgia Points Boost,35-44,Male,2026-Q1,30,24,0.296
CAMP-003,Georgia Points Boost,35-44,Female,2025-Q3,26,19,0.358
CAMP-003,Georgia Points Boost,35-44,Female,2025-Q4,22,20,0.588
CAMP-003,Georgia Points Boost,35-44,Female,2026-Q1,15,12,0.171
CAMP-003,Georgia Points Boost,35-44,Other,2025-Q3,24,18,0.419
CAMP-003,Georgia Points Boost,35-44,Other,2025-Q4,16,14,0.28
CAMP-003,Georgia Points Boost,35-44,Other,2026-Q1,32,27,0.551
CAMP-003,Georgia Points Boost,45-54,Male,2025-Q3,25,19,0.373
CAMP-003,Georgia Points Boost,45-54,Male,2025-Q4,49,35,0.372
CAMP-003,Georgia Points Boost,45-54,Male,2026-Q1,65,46,0.442
CAMP-003,Georgia Points Boost,45-54,Female,2025-Q3,27,21,0.404
CAMP-003,Georgia Points Boost,45-54,Female,2025-Q4,28,20,0.29
CAMP-003,Georgia Points Boost,45-54,Female,2026-Q1,22,17,0.288
CAMP-003,Georgia Points Boost,45-54,Other,2025-Q3,28,25,0.568
CAMP-003,Georgia Points Boost,45-54,Other,2025-Q4,43,35,0.522
CAMP-003,Georgia Points Boost,45-54,Other,2026-Q1,19,15,0.205
CAMP-003,Georgia Points Boost,55-65,Male,2025-Q3,17,13,0.265
CAMP-003,Georgia Points Boost,55-65,Male,2025-Q4,44,32,0.593
CAMP-003,Georgia Points Boost,55-65,Male,2026-Q1,40,31,0.525
CAMP-003,Georgia Points Boost,55-65,Female,2025-Q3,16,12,0.2
CAMP-003,Georgia Points Boost,55-65,Female,2025-Q4,19,16,0.219
CAMP-003,Georgia Points Boost,55-65,Female,2026-Q1,26,23,0.479
CAMP-003,Georgia Points Boost,55-65,Other,2025-Q3,26,22,0.537
CAMP-003,Georgia Points Boost,55-65,Other,2025-Q4,34,25,0.431
CAMP-003,Georgia Points Boost,55-65,Other,2026-Q1,18,14,0.197
CAMP-004,Spring Fresh Start,18-24,Male,2025-Q3,21,19,0.333
CAMP-004,Spring Fresh Start,18-24,Male,2025-Q4,27,24,0.453
CAMP-004,Spring Fresh Start,18-24,Male,2026-Q1,12,9,0.22
CAMP-004,Spring Fresh Start,18-24,Female,2025-Q3,11,8,0.182
CAMP-004,Spring Fresh Start,18-24,Female,2025-Q4,29,26,0.433
CAMP-004,Spring Fresh Start,18-24,Female,2026-Q1,26,21,0.28
CAMP-004,Spring Fresh Start,18-24,Other,2025-Q3,30,21,0.3
CAMP-004,Spring Fresh Start,18-24,Other,2025-Q4,30,27,0.397
CAMP-004,Spring Fresh Start,18-24,Other,2026-Q1,18,16,0.381
CAMP-004,Spring Fresh Start,25-34,Male,2025-Q3,24,21,0.3
CAMP-004,Spring Fresh Start,25-34,Male,2025-Q4,6,5,0.152
CAMP-004,Spring Fresh Start,25-34,Male,2026-Q1,12,10,0.154
CAMP-004,Spring Fresh Start,25-34,Female,2025-Q3,13,10,0.175
CAMP-004,Spring Fresh Start,25-34,Female,2025-Q4,24,21,0.259
CAMP-004,Spring Fresh Start,25-34,Female,2026-Q1,32,24,0.686
CAMP-004,Spring Fresh Start,25-34,Other,2025-Q3,37,30,0.435
CAMP-004,Spring Fresh Start,25-34,Other,2025-Q4,22,17,0.298
CAMP-004,Spring Fresh Start,25-34,Other,2026-Q1,24,17,0.298
CAMP-004,Spring Fresh Start,35-44,Male,2025-Q3,21,16,0.333
CAMP-004,Spring Fresh Start,35-44,Male,2025-Q4,23,18,0.383
CAMP-004,Spring Fresh Start,35-44,Male,2026-Q1,21,15,0.333
CAMP-004,Spring Fresh Start,35-44,Female,2025-Q3,24,20,0.465
CAMP-004,Spring Fresh Start,35-44,Female,2025-Q4,12,8,0.145
CAMP-004,Spring Fresh Start,35-44,Female,2026-Q1,25,21,0.313
CAMP-004,Spring Fresh Start,35-44,Other,2025-Q3,22,20,0.26
CAMP-004,Spring Fresh Start,35-44,Other,2025-Q4,27,21,0.273
CAMP-004,Spring Fresh Start,35-44,Other,2026-Q1,23,19,0.432
CAMP-004,Spring Fresh Start,45-54,Male,2025-Q3,14,11,0.204
CAMP-004,Spring Fresh Start,45-54,Male,2025-Q4,8,7,0.184
CAMP-004,Spring Fresh Start,45-54,Male,2026-Q1,12,9,0.3
CAMP-004,Spring Fresh Start,45-54,Female,2025-Q3,14,12,0.185
CAMP-004,Spring Fresh Start,45-54,Female,2025-Q4,23,21,0.296
CAMP-004,Spring Fresh Start,45-54,Female,2026-Q1,23,20,0.278
CAMP-004,Spring Fresh Start,45-54,Other,2025-Q3,18,12,0.235
CAMP-004,Spring Fresh Start,45-54,Other,2025-Q4,8,5,0.098
CAMP-004,Spring Fresh Start,45-54,Other,2026-Q1,17,15,0.341
CAMP-004,Spring Fresh Start,55-65,Male,2025-Q3,11,9,0.134
CAMP-004,Spring Fresh Start,55-65,Male,2025-Q4,9,6,0.111
CAMP-004,Spring Fresh Start,55-65,Male,2026-Q1,7,6,0.111
CAMP-004,Spring Fresh Start,55-65,Female,2025-Q3,10,7,0.189
CAMP-004,Spring Fresh Start,55-65,Female,2025-Q4,17,16,0.516
CAMP-004,Spring Fresh Start,55-65,Female,2026-Q1,10,7,0.233
CAMP-004,Spring Fresh Start,55-65,Other,2025-Q3,13,11,0.224
CAMP-004,Spring Fresh Start,55-65,Other,2025-Q4,16,12,0.293
CAMP-004,Spring Fresh Start,55-65,Other,2026-Q1,12,10,0.2
CAMP-005,Weekend Double Stamps,18-24,Male,2025-Q3,10,8,0.121
CAMP-005,Weekend Double Stamps,18-24,Male,2025-Q4,32,27,0.391
CAMP-005,Weekend Double Stamps,18-24,Male,2026-Q1,26,22,0.282
CAMP-005,Weekend Double Stamps,18-24,Female,2025-Q3,29,24,0.407
CAMP-005,Weekend Double Stamps,18-24,Female,2025-Q4,21,19,0.297
CAMP-005,Weekend Double Stamps,18-24,Female,2026-Q1,15,13,0.191
CAMP-005,Weekend Double Stamps,18-24,Other,2025-Q3,17,14,0.298
CAMP-005,Weekend Double Stamps,18-24,Other,2025-Q4,18,14,0.226
CAMP-005,Weekend Double Stamps,18-24,Other,2026-Q1,25,21,0.6
CAMP-005,Weekend Double Stamps,25-34,Male,2025-Q3,24,18,0.474
CAMP-005,Weekend Double Stamps,25-34,Male,2025-Q4,21,14,0.4
CAMP-005,Weekend Double Stamps,25-34,Male,2026-Q1,14,11,0.344
CAMP-005,Weekend Double Stamps,25-34,Female,2025-Q3,10,9,0.231
CAMP-005,Weekend Double Stamps,25-34,Female,2025-Q4,28,21,0.344
CAMP-005,Weekend Double Stamps,25-34,Female,2026-Q1,23,18,0.486
CAMP-005,Weekend Double Stamps,25-34,Other,2025-Q3,16,11,0.458
CAMP-005,Weekend Double Stamps,25-34,Other,2025-Q4,22,15,0.306
CAMP-005,Weekend Double Stamps,25-34,Other,2026-Q1,29,23,0.442
CAMP-005,Weekend Double Stamps,35-44,Male,2025-Q3,12,9,0.167
CAMP-005,Weekend Double Stamps,35-44,Male,2025-Q4,18,15,0.5
CAMP-005,Weekend Double Stamps,35-44,Male,2026-Q1,17,14,0.412
CAMP-005,Weekend Double Stamps,35-44,Female,2025-Q3,28,21,0.42
CAMP-005,Weekend Double Stamps,35-44,Female,2025-Q4,26,18,0.375
CAMP-005,Weekend Double Stamps,35-44,Female,2026-Q1,12,10,0.263
CAMP-005,Weekend Double Stamps,35-44,Other,2025-Q3,27,23,0.303
CAMP-005,Weekend Double Stamps,35-44,Other,2025-Q4,24,17,0.233
CAMP-005,Weekend Double Stamps,35-44,Other,2026-Q1,18,15,0.319
CAMP-005,Weekend Double Stamps,45-54,Male,2025-Q3,19,18,0.29
CAMP-005,Weekend Double Stamps,45-54,Male,2025-Q4,19,16,0.308
CAMP-005,Weekend Double Stamps,45-54,Male,2026-Q1,11,8,0.163
CAMP-005,Weekend Double Stamps,45-54,Female,2025-Q3,13,9,0.281
CAMP-005,Weekend Double Stamps,45-54,Female,2025-Q4,16,14,0.5
CAMP-005,Weekend Double Stamps,45-54,Female,2026-Q1,13,9,0.176
CAMP-005,Weekend Double Stamps,45-54,Other,2025-Q3,14,11,0.289
CAMP-005,Weekend Double Stamps,45-54,Other,2025-Q4,23,20,0.312
CAMP-005,Weekend Double Stamps,45-54,Other,2026-Q1,8,7,0.179
CAMP-005,Weekend Double Stamps,55-65,Male,2025-Q3,11,9,0.17
CAMP-005,Weekend Double Stamps,55-65,Male,2025-Q4,14,11,0.355
CAMP-005,Weekend Double Stamps,55-65,Male,2026-Q1,9,7,0.184
CAMP-005,Weekend Double Stamps,55-65,Female,2025-Q3,8,7,0.125
CAMP-005,Weekend Double Stamps,55-65,Female,2025-Q4,15,11,0.172
CAMP-005,Weekend Double Stamps,55-65,Female,2026-Q1,13,11,0.44
CAMP-005,Weekend Double Stamps,55-65,Other,2025-Q3,17,14,0.292
CAMP-005,Weekend Double Stamps,55-65,Other,2025-Q4,6,4,0.085
CAMP-005,Weekend Double Stamps,55-65,Other,2026-Q1,15,10,0.204
CAMP-006,Hydration Challenge,18-24,Male,2025-Q3,6,4,0.075
CAMP-006,Hydration Challenge,18-24,Male,2025-Q4,18,16,0.5
CAMP-006,Hydration Challenge,18-24,Male,2026-Q1,21,17,0.37
CAMP-006,Hydration Challenge,18-24,Female,2025-Q3,10,7,0.113
CAMP-006,Hydration Challenge,18-24,Female,2025-Q4,28,24,0.3
CAMP-006,Hydration Challenge,18-24,Female,2026-Q1,38,31,0.544
CAMP-006,Hydration Challenge,18-24,Other,2025-Q3,29,26,0.542
CAMP-006,Hydration Challenge,18-24,Other,2025-Q4,27,25,0.543
CAMP-006,Hydration Challenge,18-24,Other,2026-Q1,40,31,0.608
CAMP-006,Hydration Challenge,25-34,Male,2025-Q3,24,19,0.328
CAMP-006,Hydration Challenge,25-34,Male,2025-Q4,23,20,0.444
CAMP-006,Hydration Challenge,25-34,Male,2026-Q1,28,25,0.305
CAMP-006,Hydration Challenge,25-34,Female,2025-Q3,35,32,0.604
CAMP-006,Hydration Challenge,25-34,Female,2025-Q4,46,37,0.627
CAMP-006,Hydration Challenge,25-34,Female,2026-Q1,41,31,0.674
CAMP-006,Hydration Challenge,25-34,Other,2025-Q3,29,21,0.583
CAMP-006,Hydration Challenge,25-34,Other,2025-Q4,41,32,0.386
CAMP-006,Hydration Challenge,25-34,Other,2026-Q1,28,19,0.576
CAMP-006,Hydration Challenge,35-44,Male,2025-Q3,17,13,0.52
CAMP-006,Hydration Challenge,35-44,Male,2025-Q4,17,13,0.255
CAMP-006,Hydration Challenge,35-44,Male,2026-Q1,22,17,0.531
CAMP-006,Hydration Challenge,35-44,Female,2025-Q3,28,19,0.25
CAMP-006,Hydration Challenge,35-44,Female,2025-Q4,26,20,0.29
CAMP-006,Hydration Challenge,35-44,Female,2026-Q1,18,14,0.264
CAMP-006,Hydration Challenge,35-44,Other,2025-Q3,22,17,0.236
CAMP-006,Hydration Challenge,35-44,Other,2025-Q4,15,11,0.275
CAMP-006,Hydration Challenge,35-44,Other,2026-Q1,30,21,0.318
CAMP-006,Hydration Challenge,45-54,Male,2025-Q3,11,9,0.321
CAMP-006,Hydration Challenge,45-54,Male,2025-Q4,9,7,0.125
CAMP-006,Hydration Challenge,45-54,Male,2026-Q1,14,10,0.435
CAMP-006,Hydration Challenge,45-54,Female,2025-Q3,16,12,0.185
CAMP-006,Hydration Challenge,45-54,Female,2025-Q4,30,26,0.619
CAMP-006,Hydration Challenge,45-54,Female,2026-Q1,26,18,0.529
CAMP-006,Hydration Challenge,45-54,Other,2025-Q3,27,25,0.424
CAMP-006,Hydration Challenge,45-54,Other,2025-Q4,15,13,0.464
CAMP-006,Hydration Challenge,45-54,Other,2026-Q1,30,27,0.333
CAMP-006,Hydration Challenge,55-65,Male,2025-Q3,9,7,0.123
CAMP-006,Hydration Challenge,55-65,Male,2025-Q4,11,8,0.123
CAMP-006,Hydration Challenge,55-65,Male,2026-Q1,11,8,0.154
CAMP-006,Hydration Challenge,55-65,Female,2025-Q3,23,21,0.525
CAMP-006,Hydration Challenge,55-65,Female,2025-Q4,24,20,0.286
CAMP-006,Hydration Challenge,55-65,Female,2026-Q1,19,16,0.444
CAMP-006,Hydration Challenge,55-65,Other,2025-Q3,11,9,0.209
CAMP-006,Hydration Challenge,55-65,Other,2025-Q4,17,13,0.406
CAMP-006,Hydration Challenge,55-65,Other,2026-Q1,10,7,0.241
CAMP-007,Morning Commuter Bonus,18-24,Male,2025-Q3,15,13,0.191
CAMP-007,Morning Commuter Bonus,18-24,Male,2025-Q4,14,10,0.5
CAMP-007,Morning Commuter Bonus,18-24,Male,2026-Q1,26,19,0.275
CAMP-007,Morning Commuter Bonus,18-24,Female,2025-Q3,14,12,0.194
CAMP-007,Morning Commuter Bonus,18-24,Female,2025-Q4,13,9,0.153
CAMP-007,Morning Commuter Bonus,18-24,Female,2026-Q1,16,13,0.191
CAMP-007,Morning Commuter Bonus,18-24,Other,2025-Q3,16,11,0.177
CAMP-007,Morning Commuter Bonus,18-24,Other,2025-Q4,18,15,0.357
CAMP-007,Morning Commuter Bonus,18-24,Other,2026-Q1,10,8,0.235
CAMP-007,Morning Commuter Bonus,25-34,Male,2025-Q3,26,23,0.338
CAMP-007,Morning Commuter Bonus,25-34,Male,2025-Q4,26,22,0.595
CAMP-007,Morning Commuter Bonus,25-34,Male,2026-Q1,31,23,0.523
CAMP-007,Morning Commuter Bonus,25-34,Female,2025-Q3,32,25,0.373
CAMP-007,Morning Commuter Bonus,25-34,Female,2025-Q4,15,13,0.203
CAMP-007,Morning Commuter Bonus,25-34,Female,2026-Q1,37,34,0.442
CAMP-007,Morning Commuter Bonus,25-34,Other,2025-Q3,27,21,0.382
CAMP-007,Morning Commuter Bonus,25-34,Other,2025-Q4,33,24,0.533
CAMP-007,Morning Commuter Bonus,25-34,Other,2026-Q1,27,20,0.357
CAMP-007,Morning Commuter Bonus,35-44,Male,2025-Q3,36,33,0.559
CAMP-007,Morning Commuter Bonus,35-44,Male,2025-Q4,15,12,0.255
CAMP-007,Morning Commuter Bonus,35-44,Male,2026-Q1,28,21,0.276
CAMP-007,Morning Commuter Bonus,35-44,Female,2025-Q3,15,12,0.316
CAMP-007,Morning Commuter Bonus,35-44,Female,2025-Q4,30,28,0.373
CAMP-007,Morning Commuter Bonus,35-44,Female,2026-Q1,17,14,0.275
CAMP-007,Morning Commuter Bonus,35-44,Other,2025-Q3,18,13,0.448
CAMP-007,Morning Commuter Bonus,35-44,Other,2025-Q4,34,31,0.5
CAMP-007,Morning Commuter Bonus,35-44,Other,2026-Q1,22,19,0.442
CAMP-007,Morning Commuter Bonus,45-54,Male,2025-Q3,21,17,0.293
CAMP-007,Morning Commuter Bonus,45-54,Male,2025-Q4,9,7,0.171
CAMP-007,Morning Commuter Bonus,45-54,Male,2026-Q1,22,17,0.239
CAMP-007,Morning Commuter Bonus,45-54,Female,2025-Q3,34,29,0.537
CAMP-007,Morning Commuter Bonus,45-54,Female,2025-Q4,17,12,0.261
CAMP-007,Morning Commuter Bonus,45-54,Female,2026-Q1,18,15,0.455
CAMP-007,Morning Commuter Bonus,45-54,Other,2025-Q3,19,17,0.607
CAMP-007,Morning Commuter Bonus,45-54,Other,2025-Q4,35,31,0.585
CAMP-007,Morning Commuter Bonus,45-54,Other,2026-Q1,9,7,0.412
CAMP-007,Morning Commuter Bonus,55-65,Male,2025-Q3,22,18,0.257
CAMP-007,Morning Commuter Bonus,55-65,Male,2025-Q4,14,12,0.444
CAMP-007,Morning Commuter Bonus,55-65,Male,2026-Q1,17,12,0.522
CAMP-007,Morning Commuter Bonus,55-65,Female,2025-Q3,7,5,0.227
CAMP-007,Morning Commuter Bonus,55-65,Female,2025-Q4,13,11,0.204
CAMP-007,Morning Commuter Bonus,55-65,Female,2026-Q1,7,5,0.079
CAMP-007,Morning Commuter Bonus,55-65,Other,2025-Q3,13,9,0.141
CAMP-007,Morning Commuter Bonus,55-65,Other,2025-Q4,17,14,0.326
CAMP-007,Morning Commuter Bonus,55-65,Other,2026-Q1,20,14,0.264
CAMP-008,Regional Special,18-24,Male,2025-Q3,21,18,0.243
CAMP-008,Regional Special,18-24,Male,2025-Q4,22,17,0.486
CAMP-008,Regional Special,18-24,Male,2026-Q1,19,15,0.242
CAMP-008,Regional Special,18-24,Female,2025-Q3,16,14,0.259
CAMP-008,Regional Special,18-24,Female,2025-Q4,19,14,0.519
CAMP-008,Regional Special,18-24,Female,2026-Q1,19,14,0.212
CAMP-008,Regional Special,18-24,Other,2025-Q3,13,11,0.212
CAMP-008,Regional Special,18-24,Other,2025-Q4,24,21,0.266
CAMP-008,Regional Special,18-24,Other,2026-Q1,18,14,0.219
CAMP-008,Regional Special,25-34,Male,2025-Q3,9,8,0.205
CAMP-008,Regional Special,25-34,Male,2025-Q4,16,12,0.188
CAMP-008,Regional Special,25-34,Male,2026-Q1,24,19,0.268
CAMP-008,Regional Special,25-34,Female,2025-Q3,26,24,0.353
CAMP-008,Regional Special,25-34,Female,2025-Q4,12,8,0.286
CAMP-008,Regional Special,25-34,Female,2026-Q1,9,7,0.412
CAMP-008,Regional Special,25-34,Other,2025-Q3,18,13,0.342
CAMP-008,Regional Special,25-34,Other,2025-Q4,15,11,0.478
CAMP-008,Regional Special,25-34,Other,2026-Q1,12,9,0.17
CAMP-008,Regional Special,35-44,Male,2025-Q3,20,17,0.243
CAMP-008,Regional Special,35-44,Male,2025-Q4,22,20,0.286
CAMP-008,Regional Special,35-44,Male,2026-Q1,16,13,0.542
CAMP-008,Regional Special,35-44,Female,2025-Q3,14,10,0.182
CAMP-008,Regional Special,35-44,Female,2025-Q4,14,10,0.27
CAMP-008,Regional Special,35-44,Female,2026-Q1,17,15,0.273
CAMP-008,Regional Special,35-44,Other,2025-Q3,11,8,0.348
CAMP-008,Regional Special,35-44,Other,2025-Q4,18,12,0.231
CAMP-008,Regional Special,35-44,Other,2026-Q1,25,19,0.373
CAMP-008,Regional Special,45-54,Male,2025-Q3,14,11,0.355
CAMP-008,Regional Special,45-54,Male,2025-Q4,10,9,0.143
CAMP-008,Regional Special,45-54,Male,2026-Q1,15,13,0.325
CAMP-008,Regional Special,45-54,Female,2025-Q3,15,10,0.159
CAMP-008,Regional Special,45-54,Female,2025-Q4,24,22,0.393
CAMP-008,Regional Special,45-54,Female,2026-Q1,20,17,0.459
CAMP-008,Regional Special,45-54,Other,2025-Q3,14,10,0.149
CAMP-008,Regional Special,45-54,Other,2025-Q4,19,16,0.211
CAMP-008,Regional Special,45-54,Other,2026-Q1,13,9,0.273
CAMP-008,Regional Special,55-65,Male,2025-Q3,14,10,0.217
CAMP-008,Regional Special,55-65,Male,2025-Q4,15,13,0.181
CAMP-008,Regional Special,55-65,Male,2026-Q1,21,18,0.383
CAMP-008,Regional Special,55-65,Female,2025-Q3,23,18,0.273
CAMP-008,Regional Special,55-65,Female,2025-Q4,13,10,0.152
CAMP-008,Regional Special,55-65,Female,2026-Q1,27,22,0.489
CAMP-008,Regional Special,55-65,Other,2025-Q3,18,14,0.25
CAMP-008,Regional Special,55-65,Other,2025-Q4,18,13,0.178
CAMP-008,Regional Special,55-65,Other,2026-Q1,16,11,0.478
